Date,Price,Buy_Score,Sell_Score,Net_Bias,Bias_Tier,Combined_Signal,Buy_Tier,Sell_Tier,Buy_Delta,Sell_Delta,Scenario_Num,Scenario_Signal,Scenario_Action,Scenario_Zone,Buy_D1,Sell_D1,Buy_D2,Sell_D2,Buy_D3,Sell_D3,Buy_D4,Sell_D4,Buy_D5,Sell_D5,Buy_D6,Sell_D6,Pivot_PP,Pivot_R1,Pivot_S1
2025-08-25,3373.8,70.82,39.32,31.5,Bullish ↑,Bullish Dominant,Moderate ↑,Weak Sell,14.35,-20.92,3,Bullish Accumulation,BUY,BULLISH,32.87,67.13,75.1,28.3,80,65,100,0,100,5,80.0,35.0,3372.6,3379.2,3367.2
2025-08-26,3388.6,68.3,35.09,33.2,Bullish ↑,Bullish Dominant,Moderate ↑,Weak Sell,19.25,-36.41,3,Bullish Accumulation,BUY,BULLISH,36.39,63.61,66.12,10.0,100,40,100,0,100,5,65.0,10.0,3385.4,3399.7,3374.3
2025-08-27,3404.6,68.75,34.59,34.16,Bullish ↑,Bullish Dominant,Moderate ↑,Weak Sell,19.16,-36.81,3,Bullish Accumulation,BUY,BULLISH,40.62,59.38,64.36,10.0,100,40,100,0,100,5,65.0,10.0,3397.07,3412.13,3389.53
2025-08-28,3431.8,68.99,37.33,31.66,Bullish ↑,Bullish Dominant,Moderate ↑,Weak Sell,16.99,-38.98,3,Bullish Accumulation,BUY,BULLISH,55.68,44.32,64.22,10.0,80,65,100,0,100,5,65.0,10.0,3422.13,3444.27,3409.67
2025-08-29,3473.7,77.94,20.37,57.57,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-5.25,-9.98,3,Bullish Accumulation,BUY,BULLISH,55.44,44.56,61.45,10.0,70,50,100,0,100,5,65.0,10.0,3458.63,3490.67,3441.67
2025-09-02,3549.4,76.37,21.94,54.43,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-3.25,-13.85,3,Bullish Accumulation,BUY,BULLISH,72.65,27.35,60.8,10.0,50,65,100,0,100,5,65.0,10.0,3531.43,3577.17,3503.67
2025-09-03,3593.2,76.67,15.54,61.13,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-2.5,-2.7,3,Bullish Accumulation,BUY,BULLISH,77.61,22.39,59.92,10.0,50,65,100,0,100,5,65.0,10.0,3580.03,3606.87,3566.37
2025-09-04,3565.8,76.24,15.56,60.68,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-4.18,-1.24,3,Bullish Accumulation,BUY,BULLISH,73.07,26.93,56.85,10.0,50,65,100,0,100,5,65.0,10.0,3563.1,3576.3,3552.6
2025-09-05,3613.2,76.37,15.86,60.51,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-2.23,-3.96,3,Bullish Accumulation,BUY,BULLISH,79.44,20.56,57.07,10.0,50,65,100,0,100,5,65.0,10.0,3598.07,3628.33,3582.93
2025-09-08,3638.1,75.65,14.21,61.44,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,0.68,-2.34,3,Bullish Accumulation,BUY,BULLISH,84.5,15.5,56.45,10.0,50,65,100,0,100,5,65.0,10.0,3623.03,3656.07,3605.07
2025-09-09,3643.3,74.86,14.33,60.54,Strong Bullish ↑↑,Bullish Dominant,Moderate ↑,No Sell Signal,0.24,-1.37,4,Support Bounce,BUY,BULLISH,80.9,19.1,54.0,10.0,50,65,100,0,100,5,65.0,10.0,3647.17,3666.53,3623.93
2025-09-10,3643.6,74.91,14.05,60.86,Strong Bullish ↑↑,Bullish Dominant,Moderate ↑,No Sell Signal,-1.02,-0.27,3,Bullish Accumulation,BUY,BULLISH,79.2,20.8,52.21,10.0,50,65,100,0,100,5,65.0,10.0,3639.93,3659.07,3624.47
2025-09-11,3636.9,73.93,14.71,59.22,Strong Bullish ↑↑,Bullish Dominant,Moderate ↑,No Sell Signal,-0.44,-0.46,3,Bullish Accumulation,BUY,BULLISH,75.84,24.16,51.41,10.0,50,65,100,0,100,5,65.0,10.0,3630.73,3643.07,3624.57
2025-09-12,3649.4,74.04,14.7,59.34,Strong Bullish ↑↑,Bullish Dominant,Moderate ↑,No Sell Signal,-2.42,1.64,4,Support Bounce,BUY,BULLISH,69.62,30.38,52.39,10.0,50,65,100,0,100,5,65.0,10.0,3649.73,3656.47,3642.67
2025-09-15,3682.2,74.66,14.01,60.65,Strong Bullish ↑↑,Bullish Dominant,Moderate ↑,No Sell Signal,-2.67,1.94,3,Bullish Accumulation,BUY,BULLISH,72.89,27.11,52.07,10.0,50,65,100,0,100,5,65.0,10.0,3667.9,3700.7,3649.4
2025-09-16,3688.9,74.06,14.36,59.7,Strong Bullish ↑↑,Bullish Dominant,Moderate ↑,No Sell Signal,-1.85,1.44,4,Support Bounce,BUY,BULLISH,72.27,27.73,51.51,10.0,50,65,100,0,100,5,65.0,10.0,3689.63,3697.87,3680.67
2025-09-17,3681.8,73.76,14.49,59.28,Strong Bullish ↑↑,Bullish Dominant,Moderate ↑,No Sell Signal,-1.27,1.13,3,Bullish Accumulation,BUY,BULLISH,72.43,27.57,51.33,10.0,50,65,100,0,100,5,65.0,10.0,3676.2,3690.8,3667.2
2025-09-18,3643.7,74.32,14.18,60.14,Strong Bullish ↑↑,Bullish Dominant,Moderate ↑,No Sell Signal,1.23,-0.6,4,Support Bounce,BUY,BULLISH,64.46,35.54,50.18,10.0,70,50,100,0,100,5,65.0,10.0,3649.37,3661.73,3631.33
2025-09-19,3671.5,74.09,14.32,59.77,Strong Bullish ↑↑,Bullish Dominant,Moderate ↑,No Sell Signal,2.52,-2.39,4,Support Bounce,BUY,BULLISH,68.94,31.06,48.17,10.0,70,50,100,0,100,5,65.0,10.0,3671.87,3685.53,3657.83
2025-09-22,3740.7,75.31,13.15,62.16,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,3.96,-3.65,3,Bullish Accumulation,BUY,BULLISH,79.8,20.2,48.92,10.0,70,50,100,0,100,5,65.0,10.0,3725.63,3763.27,3703.07
2025-09-23,3780.6,75.72,12.72,63.0,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,5.18,-4.72,3,Bullish Accumulation,BUY,BULLISH,85.58,14.42,49.3,10.0,70,50,100,0,100,5,65.0,10.0,3768.87,3797.73,3751.73
2025-09-24,3732.1,74.69,13.76,60.92,Strong Bullish ↑↑,Bullish Dominant,Moderate ↑,No Sell Signal,3.12,-2.57,4,Support Bounce,BUY,BULLISH,72.87,27.13,49.62,10.0,70,50,100,0,100,5,65.0,10.0,3745.57,3759.03,3718.63
2025-09-25,3736.9,79.11,12.56,66.55,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,8.34,-2.64,4,Support Bounce,BUY,BULLISH,75.3,24.7,44.4,10.0,100,20,100,0,100,5,80.0,35.0,3739.2,3753.7,3722.4
2025-09-26,3775.3,76.93,12.25,64.68,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,3.15,-1.77,5,Oversold Recovery,BUY,BULLISH,79.56,20.44,56.43,10.0,70,50,100,0,100,5,65.0,10.0,3775.3,3775.3,3775.3
2025-09-29,3820.9,79.67,12.99,66.67,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,4.76,3.35,3,Bullish Accumulation,BUY,BULLISH,84.72,15.28,57.55,10.0,70,50,100,0,100,5,80.0,35.0,3801.1,3847.4,3774.6
2025-09-30,3840.8,79.05,10.31,68.74,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,1.47,-0.09,3,Bullish Accumulation,BUY,BULLISH,86.14,13.86,57.57,10.0,70,50,100,0,100,5,65.0,10.0,3833.23,3873.07,3800.97
2025-10-01,3867.5,78.15,11.23,66.93,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,3.81,-2.5,4,Support Bounce,BUY,BULLISH,87.85,12.15,57.51,10.0,70,50,100,0,100,5,65.0,10.0,3870.9,3888.5,3849.9
2025-10-02,3839.7,81.52,10.76,70.76,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-3.52,-0.95,4,Support Bounce,BUY,BULLISH,85.98,14.02,57.61,10.0,70,50,100,0,100,5,65.0,10.0,3850.67,3877.63,3812.73
2025-10-03,3880.8,79.78,10.12,69.67,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,2.57,-2.49,3,Bullish Accumulation,BUY,BULLISH,94.5,5.5,56.91,10.0,70,50,100,0,100,5,65.0,10.0,3873.77,3893.83,3860.73
2025-10-06,3948.5,82.95,13.62,69.33,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,1.81,-2.09,3,Bullish Accumulation,BUY,BULLISH,97.29,2.71,55.82,10.0,70,50,100,0,100,5,80.0,35.0,3945.1,3963.4,3930.2
2025-10-07,3976.6,81.89,11.38,70.51,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,4.2,2.23,3,Bullish Accumulation,BUY,BULLISH,97.77,2.23,56.16,10.0,70,50,100,0,100,5,80.0,35.0,3966.03,3992.07,3950.57
2025-10-08,4043.3,80.47,12.39,68.08,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,0.83,4.82,3,Bullish Accumulation,BUY,BULLISH,98.92,1.08,56.41,10.0,50,65,100,0,100,5,80.0,35.0,4026.57,4065.93,4003.93
2025-10-09,3946.3,81.28,11.99,69.3,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,3.04,3.39,4,Support Bounce,BUY,BULLISH,90.66,9.34,56.16,10.0,70,50,100,0,100,5,80.0,35.0,3977.5,4015.0,3908.8
2025-10-10,3975.9,82.67,11.83,70.85,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,3.21,5.91,4,Support Bounce,BUY,BULLISH,89.04,10.96,56.61,10.0,70,50,100,0,100,5,90.0,40.0,3977.8,4010.1,3943.6
2025-10-13,4108.6,84.06,12.45,71.62,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,0.42,-0.25,3,Bullish Accumulation,BUY,BULLISH,98.8,1.2,56.85,10.0,70,50,100,0,100,5,80.0,35.0,4078.53,4141.07,4046.07
2025-10-14,4138.7,83.35,14.05,69.3,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-1.27,3.12,3,Bullish Accumulation,BUY,BULLISH,99.04,0.96,57.27,10.0,50,65,100,0,100,5,90.0,40.0,4128.2,4170.6,4096.3
2025-10-15,4176.9,81.57,15.46,66.12,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,1.37,1.31,4,Support Bounce,BUY,BULLISH,96.04,3.96,57.51,10.0,50,65,100,0,100,5,90.0,40.0,4177.5,4210.0,4144.4
2025-10-16,4280.2,82.91,14.56,68.35,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,0.22,1.77,3,Bullish Accumulation,BUY,BULLISH,100.02,-0.02,58.11,10.0,50,65,100,0,100,5,90.0,40.0,4261.27,4325.93,4215.53
2025-10-17,4189.9,83.89,15.8,68.09,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-0.78,2.04,4,Support Bounce,BUY,BULLISH,91.83,8.17,59.16,10.0,70,50,100,0,90,20,90.0,40.0,4243.37,4304.53,4128.73
2025-10-20,4336.4,83.64,13.61,70.03,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-1.27,2.58,3,Bullish Accumulation,BUY,BULLISH,98.31,1.69,59.74,10.0,70,50,100,0,90,20,80.0,35.0,4302.53,4390.47,4248.47
2025-10-21,4087.7,82.49,17.39,65.1,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-0.45,3.55,4,Support Bounce,BUY,BULLISH,82.77,17.23,60.82,10.0,100,40,100,0,70,40,80.0,35.0,4169.37,4251.03,4006.03
2025-10-22,4044.4,81.58,18.29,63.29,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-1.36,4.35,4,Support Bounce,BUY,BULLISH,74.94,25.06,60.46,10.0,100,40,100,0,70,40,80.0,35.0,4066.3,4126.6,3984.1
2025-10-23,4125.5,82.76,15.43,67.32,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-0.53,-0.03,3,Bullish Accumulation,BUY,BULLISH,85.22,14.78,59.72,10.0,100,20,100,0,70,40,80.0,35.0,4111.0,4151.3,4085.2
2025-10-24,4118.4,82.57,18.03,64.55,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-1.85,2.42,3,Bullish Accumulation,BUY,BULLISH,82.29,17.71,57.61,10.0,100,40,100,0,70,40,80.0,35.0,4104.63,4134.37,4088.67
2025-10-27,4001.9,80.65,18.04,62.61,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-4.71,6.27,4,Support Bounce,BUY,BULLISH,70.68,29.32,49.1,10.0,100,40,100,0,70,40,80.0,35.0,4017.27,4063.23,3955.93
2025-10-28,3966.2,78.05,22.54,55.51,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-8.44,6.76,3,Bullish Accumulation,BUY,BULLISH,67.21,32.79,45.76,10.0,80,65,100,0,70,40,80.0,35.0,3952.0,3980.4,3937.8
2025-10-29,3983.7,79.43,20.67,58.76,Strong Bullish ↑↑,Full Bullish Confirmed,Strong ↑,No Sell Signal,-2.93,0.42,2,Bullish but Cooling,HOLD,BULLISH,72.43,27.57,45.38,10.0,100,40,100,0,70,40,80.0,35.0,3983.7,3983.7,3983.7
2025-10-30,4001.3,79.91,18.49,61.41,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-5.17,6.15,3,Bullish Accumulation,BUY,BULLISH,68.31,31.69,45.64,10.0,100,40,100,0,70,40,80.0,35.0,3980.73,4047.77,3934.27
2025-10-31,3982.2,77.71,22.59,55.12,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-7.88,6.7,4,Support Bounce,BUY,BULLISH,67.07,32.93,45.56,10.0,80,65,100,0,70,40,80.0,35.0,3997.77,4018.93,3961.03
2025-11-03,4000.3,75.81,23.64,52.18,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-4.97,4.92,3,Bullish Accumulation,BUY,BULLISH,66.16,33.84,43.82,10.0,80,65,100,0,70,40,80.0,35.0,3993.1,4027.2,3966.2
2025-11-04,3947.7,64.35,37.25,27.1,Bullish ↑,Bullish Dominant,Moderate ↑,Weak Sell,-18.96,22.66,4,Support Bounce,BUY,BULLISH,57.33,42.67,44.12,51.09,60,85,100,0,70,40,25.0,100.0,3956.83,3986.27,3918.27
2025-11-05,3980.3,73.82,25.25,48.57,Bullish ↑,Bullish Dominant,Moderate ↑,No Sell Signal,-8.3,8.73,3,Bullish Accumulation,BUY,BULLISH,65.04,34.96,42.97,10.0,60,85,100,0,70,40,80.0,35.0,3964.57,3999.23,3945.63
2025-11-06,3979.9,66.3,34.79,31.52,Bullish ↑,Bullish Dominant,Moderate ↑,Weak Sell,-22.04,26.44,4,Support Bounce,BUY,BULLISH,61.47,38.53,42.51,51.78,60,85,100,0,70,40,25.0,100.0,3989.1,3998.3,3970.7
2025-11-07,3999.4,69.9,28.19,41.71,Bullish ↑,Bullish Dominant,Moderate ↑,No Sell Signal,-7.75,4.49,3,Bullish Accumulation,BUY,BULLISH,75.14,24.86,40.98,10.0,30,100,100,0,70,40,80.0,35.0,3993.2,4005.6,3987.0
2025-11-10,4111.8,76.52,22.2,54.33,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,6.39,-7.8,3,Bullish Accumulation,BUY,BULLISH,87.95,12.05,40.36,10.0,100,40,100,0,70,40,80.0,35.0,4094.53,4129.07,4077.27
2025-11-11,4106.8,62.58,42.52,20.05,Lean Bullish ↗,Bullish Dominant,Moderate ↑,Weak Sell,15.43,-12.12,4,Support Bounce,BUY,BULLISH,86.87,13.13,39.86,52.92,100,40,100,0,70,40,25.0,100.0,4117.9,4129.0,4095.7
2025-11-12,4204.4,74.83,23.73,51.1,Strong Bullish ↑↑,Bullish Dominant,Moderate ↑,No Sell Signal,10.32,-11.77,3,Bullish Accumulation,BUY,BULLISH,90.68,9.32,39.26,10.0,100,40,100,0,70,40,80.0,35.0,4170.57,4238.23,4136.73
2025-11-13,4186.9,68.17,33.52,34.64,Bullish ↑,Bullish Dominant,Moderate ↑,Weak Sell,25.76,-28.97,4,Support Bounce,BUY,BULLISH,88.51,11.49,37.77,10.0,100,40,100,0,70,40,90.0,40.0,4193.1,4222.5,4157.5
2025-11-14,4087.6,67.16,34.29,32.87,Bullish ↑,Bullish Dominant,Moderate ↑,Weak Sell,2.27,7.71,4,Support Bounce,BUY,BULLISH,78.19,21.81,36.57,54.33,100,40,100,0,70,40,25.0,100.0,4110.83,4174.67,4023.77
2025-11-17,4068.3,71.98,26.37,45.62,Bullish ↑,Bullish Dominant,Moderate ↑,No Sell Signal,-15.47,16.14,3,Bullish Accumulation,BUY,BULLISH,69.86,30.14,37.91,53.75,100,40,100,0,90,20,15.0,90.0,4062.4,4105.4,4025.3
2025-11-18,4061.3,66.95,35.8,31.15,Bullish ↑,Bullish Dominant,Moderate ↑,Weak Sell,-6.68,-1.33,3,Bullish Accumulation,BUY,BULLISH,65.48,34.52,38.43,53.53,100,40,100,0,90,20,15.0,90.0,4053.43,4071.27,4043.47
2025-11-19,4077.7,72.06,26.19,45.88,Bullish ↑,Bullish Dominant,Moderate ↑,No Sell Signal,-15.85,16.69,4,Support Bounce,BUY,BULLISH,69.38,30.62,37.73,53.83,100,40,100,0,90,20,15.0,90.0,4090.8,4109.6,4058.9
2025-11-20,4056.5,80.68,19.36,61.32,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-0.73,0.64,4,Support Bounce,BUY,BULLISH,64.68,35.32,37.19,10.0,100,40,100,0,90,20,90.0,40.0,4062.37,4084.53,4034.33
2025-11-21,4076.7,66.07,36.43,29.65,Bullish ↑,Bullish Dominant,Moderate ↑,Weak Sell,-4.44,-3.43,3,Bullish Accumulation,BUY,BULLISH,68.78,31.22,36.59,54.32,100,40,100,0,90,20,15.0,90.0,4064.57,4097.33,4043.93
2025-11-24,4091.9,67.12,31.54,35.59,Bullish ↑,Bullish Dominant,Moderate ↑,Weak Sell,5.75,-5.8,3,Bullish Accumulation,BUY,BULLISH,71.55,28.45,33.45,55.67,100,20,100,0,100,5,15.0,90.0,4081.43,4102.37,4070.97
2025-11-25,4139.2,74.82,22.62,52.2,Strong Bullish ↑↑,Bullish Dominant,Moderate ↑,No Sell Signal,22.43,-25.02,3,Bullish Accumulation,BUY,BULLISH,82.05,17.95,54.16,10.0,100,20,100,0,100,5,80.0,35.0,4139.2,4139.2,4139.2
2025-11-26,4165.2,75.67,21.93,53.74,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,23.07,-25.2,3,Bullish Accumulation,BUY,BULLISH,86.73,13.27,56.51,10.0,100,20,100,0,100,5,80.0,35.0,4154.57,4181.63,4138.13
2025-11-28,4218.3,82.82,14.46,68.36,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,5.02,-10.42,3,Bullish Accumulation,BUY,BULLISH,87.21,12.79,44.8,10.0,100,20,100,0,100,5,80.0,35.0,4194.07,4248.13,4164.23
2025-12-01,4239.3,73.16,19.89,53.27,Strong Bullish ↑↑,Bullish Dominant,Moderate ↑,No Sell Signal,18.62,-29.64,3,Bullish Accumulation,BUY,BULLISH,87.29,12.71,42.51,10.0,100,20,100,0,100,5,65.0,10.0,4238.77,4262.63,4215.43
2025-12-02,4186.6,75.55,19.22,56.33,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,11.09,-18.85,4,Support Bounce,BUY,BULLISH,78.98,21.02,42.57,10.0,100,40,100,0,100,5,65.0,10.0,4194.7,4222.4,4158.9
2025-12-03,4199.3,82.04,11.91,70.13,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-7.99,3.59,4,Support Bounce,BUY,BULLISH,80.52,19.48,42.73,10.0,80,65,100,0,100,5,65.0,10.0,4209.7,4223.7,4185.3
2025-12-04,4211.8,84.23,9.29,74.95,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-5.95,-0.09,3,Bullish Accumulation,BUY,BULLISH,82.27,17.73,40.3,10.0,100,40,100,0,100,5,65.0,10.0,4199.53,4224.07,4187.27
2025-12-05,4212.9,82.83,7.88,74.95,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-5.02,-2.75,4,Support Bounce,BUY,BULLISH,78.73,21.27,38.19,10.0,100,20,100,0,100,5,65.0,10.0,4221.03,4247.57,4186.37
2025-12-08,4187.2,80.98,6.12,74.86,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-2.97,2.09,4,Support Bounce,BUY,BULLISH,74.74,25.26,37.21,10.0,100,20,100,0,100,5,65.0,10.0,4192.83,4210.17,4169.87
2025-12-09,4206.7,78.08,10.71,67.36,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-6.03,1.85,3,Bullish Accumulation,BUY,BULLISH,77.91,22.09,37.47,10.0,70,50,100,0,100,5,65.0,10.0,4201.37,4225.03,4183.03
2025-12-10,4196.4,78.12,11.0,67.12,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,0.15,-5.41,4,Support Bounce,BUY,BULLISH,67.95,32.05,36.22,10.0,100,20,100,0,100,5,65.0,10.0,4204.83,4226.07,4175.17
2025-12-11,4285.5,77.85,10.52,67.33,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-6.83,2.55,3,Bullish Accumulation,BUY,BULLISH,76.95,23.05,34.64,10.0,70,50,100,0,100,5,65.0,10.0,4262.23,4310.17,4237.57
2025-12-12,4300.1,77.82,8.93,68.89,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-4.99,4.86,4,Support Bounce,BUY,BULLISH,79.56,20.44,37.39,10.0,70,50,100,0,100,5,65.0,10.0,4305.03,4350.07,4255.07
2025-12-15,4306.7,77.75,8.97,68.77,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-3.49,3.62,4,Support Bounce,BUY,BULLISH,83.03,16.97,37.99,10.0,70,50,100,0,100,5,65.0,10.0,4316.27,4339.63,4283.33
2025-12-16,4304.5,75.94,11.05,64.9,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,1.76,-1.18,3,Bullish Accumulation,BUY,BULLISH,85.0,15.0,40.94,10.0,70,50,100,0,100,5,65.0,10.0,4298.8,4327.1,4276.2
2025-12-17,4347.5,78.18,8.89,69.29,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-0.03,1.19,3,Bullish Accumulation,BUY,BULLISH,90.8,9.2,43.21,10.0,70,50,100,0,100,5,65.0,10.0,4335.8,4363.1,4320.2
2025-12-18,4339.5,78.45,8.49,69.96,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,8.03,-6.61,3,Bullish Accumulation,BUY,BULLISH,86.59,13.41,43.19,10.0,100,20,100,0,100,5,65.0,10.0,4338.6,4349.0,4329.1
2025-12-19,4361.4,78.96,8.29,70.67,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,7.27,-6.14,3,Bullish Accumulation,BUY,BULLISH,86.39,13.61,44.2,10.0,100,20,100,0,100,5,65.0,10.0,4357.63,4365.17,4353.87
2025-12-22,4444.6,75.59,11.28,64.31,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-0.82,0.99,3,Bullish Accumulation,BUY,BULLISH,92.09,7.91,43.98,10.0,50,65,100,0,100,5,65.0,10.0,4421.1,4471.1,4394.6
2025-12-23,4482.8,76.19,10.85,65.34,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-1.26,0.79,3,Bullish Accumulation,BUY,BULLISH,95.28,4.72,43.07,10.0,50,65,100,0,100,5,65.0,10.0,4479.0,4507.6,4454.2
2025-12-24,4480.6,76.57,10.51,66.06,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-3.2,2.05,4,Support Bounce,BUY,BULLISH,93.53,6.47,41.29,10.0,50,65,100,0,100,5,65.0,10.0,4484.13,4499.87,4464.87
2025-12-26,4529.1,78.0,8.26,69.74,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-8.93,6.14,4,Support Bounce,BUY,BULLISH,94.78,5.22,31.39,10.0,50,65,100,0,100,5,65.0,10.0,4529.13,4556.27,4501.97
2025-12-29,4325.1,79.57,7.5,72.07,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-6.07,4.55,4,Support Bounce,BUY,BULLISH,74.1,25.9,30.08,10.0,100,20,100,0,90,20,65.0,10.0,4343.07,4361.03,4307.13
2025-12-30,4370.1,76.02,10.83,65.19,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,1.68,-1.89,4,Support Bounce,BUY,BULLISH,73.41,26.59,32.73,10.0,100,20,100,0,90,20,65.0,10.0,4370.57,4403.13,4337.53
2025-12-31,4325.6,75.78,12.66,63.12,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,0.43,2.83,3,Bullish Accumulation,BUY,BULLISH,68.31,31.69,32.65,10.0,100,40,100,0,90,20,65.0,10.0,4324.8,4364.6,4285.8
2026-01-02,4314.4,75.58,12.69,62.89,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,1.23,2.31,4,Support Bounce,BUY,BULLISH,69.64,30.36,32.53,10.0,100,40,100,0,90,20,65.0,10.0,4326.47,4338.53,4302.33
2026-01-05,4436.9,75.39,10.38,65.01,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,3.72,-1.9,3,Bullish Accumulation,BUY,BULLISH,76.16,23.84,32.31,10.0,100,20,100,0,90,20,65.0,10.0,4421.73,4458.67,4399.97
2026-01-06,4482.2,77.38,8.93,68.44,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,1.69,-1.67,3,Bullish Accumulation,BUY,BULLISH,84.14,15.86,30.2,10.0,100,20,100,0,90,20,65.0,10.0,4471.13,4493.27,4460.07
2026-01-07,4449.3,77.04,11.13,65.9,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,0.36,2.49,4,Support Bounce,BUY,BULLISH,78.47,21.53,29.82,10.0,100,40,100,0,90,20,65.0,10.0,4449.53,4449.77,4449.07
2026-01-08,4449.7,76.98,13.21,63.76,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,1.97,-1.71,3,Bullish Accumulation,BUY,BULLISH,78.59,21.41,34.18,10.0,100,40,100,0,90,20,65.0,10.0,4443.0,4468.0,4424.7
2026-01-09,4490.3,77.38,10.98,66.4,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,2.36,-5.74,3,Bullish Accumulation,BUY,BULLISH,84.06,15.94,32.29,10.0,100,20,100,0,90,20,65.0,10.0,4484.53,4496.07,4478.77
2026-01-12,4604.3,79.57,10.32,69.25,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,4.64,1.78,3,Bullish Accumulation,BUY,BULLISH,90.48,9.52,30.86,10.0,100,20,100,0,90,20,80.0,35.0,4600.7,4623.6,4581.4
